Unnamed: 0.1,Unnamed: 0,orthofoto_id,dist_0,dist_40,dist_41,dist_42,dist_48,dist_52,dist_54,dist_55,dist_56,dist_57,dist_58,dist_59,dist_60,dist_61,dist_62,dist_63,dist_64,dist_65,dist_72,dist_83,dist_84,dist_87,dist_88,dist_92,dist_95,s2_full_id,lon,lat,cs_cdf,corine,abs_days_diff,time,ARCHIVNR,s2_download_id,in_austria,ortho_begin_date,ortho_end_date,dist_96,image_id,hr_mask_path,hr_compressed_mask_path,hr_othofoto_path,lr_s2_path,lr_harm_path,hr_harm_path,tortilla_path,low_corr,orthofoto_contains_nodata
0,65,87,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT,9.583130212290706,47.50312019720332,0.8901960784313725,2,3,2023-08-14,2023270.0,S2_U_00085,True,2023-08-11,2023-09-27,0.0,00065.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00065.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00065.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00065.tif,/data/USERS/shollend/taco/lr_s2/S2_00065.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00065.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00065.tif,/data/USERS/shollend/taco/tortilla/00065.tortilla,-0.2288727359956875,False
3,45,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.727,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT,9.606776448525512,47.16951598828573,0.8862745098039215,5,3,2023-08-14,2023270.0,S2_U_00064,True,2023-08-11,2023-09-27,0.0,00045.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00045.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00045.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00045.tif,/data/USERS/shollend/taco/lr_s2/S2_00045.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00045.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00045.tif,/data/USERS/shollend/taco/tortilla/00045.tortilla,0.1007465083544423,False
4,12,18,0.739,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT,9.571403079151528,47.19141314244632,0.9176470588235294,4,8,2023-08-19,2023270.0,S2_U_00017,True,2023-08-11,2023-09-27,0.0,00012.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00012.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00012.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00012.tif,/data/USERS/shollend/taco/lr_s2/S2_00012.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00012.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00012.tif,/data/USERS/shollend/taco/tortilla/00012.tortilla,0.2955883745244888,False
5,5,10,0.943,0.0,0.0,0.0,0.05,0.004,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT,9.550413426596853,47.24837133704166,0.9215686274509804,3,8,2023-08-19,2023270.0,S2_U_00009,True,2023-08-11,2023-09-27,0.0,00005.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00005.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00005.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00005.tif,/data/USERS/shollend/taco/lr_s2/S2_00005.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00005.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00005.tif,/data/USERS/shollend/taco/tortilla/00005.tortilla,-0.0135786884282008,False
6,70,92,0.813,0.0,0.0,0.0,0.0,0.0,0.066,0.011,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT,9.6292833786168,47.08953892929771,0.9137254901960784,5,8,2023-08-19,2023270.0,S2_U_00090,True,2023-08-11,2023-09-27,0.0,00070.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00070.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00070.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00070.tif,/data/USERS/shollend/taco/lr_s2/S2_00070.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00070.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00070.tif,/data/USERS/shollend/taco/tortilla/00070.tortilla,0.0589617088780677,False
8,61,81,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT,9.593767197056373,47.35357581222755,0.9137254901960784,3,3,2023-08-14,2023270.0,S2_U_00080,True,2023-08-11,2023-09-27,0.0,00061.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00061.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00061.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00061.tif,/data/USERS/shollend/taco/lr_s2/S2_00061.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00061.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00061.tif,/data/USERS/shollend/taco/tortilla/00061.tortilla,0.1260802117825263,False
15,23,34,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT,9.590721234214229,47.15745841737433,0.807843137254902,4,3,2023-08-14,2023270.0,S2_U_00033,True,2023-08-11,2023-09-27,0.0,00023.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00023.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00023.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00023.tif,/data/USERS/shollend/taco/lr_s2/S2_00023.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00023.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00023.tif,/data/USERS/shollend/taco/tortilla/00023.tortilla,-0.2212205704445323,False
18,67,89,0.225,0.0,0.0,0.0,0.0,0.0,0.107,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT,9.631694272958482,47.05502658207028,0.9098039215686274,5,8,2023-08-19,2023270.0,S2_U_00087,True,2023-08-11,2023-09-27,0.0,00067.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00067.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00067.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00067.tif,/data/USERS/shollend/taco/lr_s2/S2_00067.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00067.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00067.tif,/data/USERS/shollend/taco/tortilla/00067.tortilla,-0.1836796243757546,False
20,66,88,0.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT,9.582309479529084,47.5146234221502,0.8941176470588236,2,3,2023-08-14,2023270.0,S2_U_00086,True,2023-08-11,2023-09-27,0.0,00066.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00066.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00066.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00066.tif,/data/USERS/shollend/taco/lr_s2/S2_00066.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00066.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00066.tif,/data/USERS/shollend/taco/tortilla/00066.tortilla,-0.1354541049804408,False
21,134,161,0.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT,9.616269093416667,47.51573069515351,0.8862745098039215,2,3,2023-08-14,2023270.0,S2_U_00158,True,2023-08-11,2023-09-27,0.0,00134.tif,/data/USERS/shollend/taco/hr_mask/HR_mask_00134.tif,/data/USERS/shollend/taco/hr_compressed_mask/HR_mask_00134.tif,/data/USERS/shollend/taco/hr_orthofoto/HR_ortho_00134.tif,/data/USERS/shollend/taco/lr_s2/S2_00134.tif,/data/USERS/shollend/taco/lr_harm/lr_harm_00134.tif,/data/USERS/shollend/taco/hr_harm/hr_harm_00134.tif,/data/USERS/shollend/taco/tortilla/00134.tortilla,-0.3617811847000159,False
